Id,SalePrice
1461,128944.61
1462,165491.03
1463,186386.66
1464,197812.12
1465,181064.83
1466,172366.47
1467,165606.14
1468,167889.23
1469,172733.83
1470,130702.625
1471,189049.19
1472,97825.03
1473,107302.22
1474,150907.39
1475,129552.46
1476,378482.88
1477,243557.28
1478,296684.16
1479,254597.03
1480,481860.22
1481,311191.88
1482,212813.62
1483,177617.77
1484,171585.62
1485,178905.67
1486,197431.02
1487,345804.66
1488,235467.56
1489,209902.05
1490,224049.25
1491,189168.84
1492,90735.484
1493,191390.92
1494,306729.56
1495,287126.78
1496,254009.73
1497,183289.38
1498,160607.17
1499,158345.28
1500,162271.22
1501,174734.4
1502,152909.31
1503,303671.38
1504,243389.64
1505,223748.12
1506,180524.17
1507,242845.08
1508,196868.19
1509,164765.17
1510,147887.67
1511,141829.28
1512,161670.56
1513,150525.44
1514,172870.14
1515,198698.44
1516,151884.05
1517,150245.3
1518,130222.734
1519,245346.94
1520,139650.06
1521,138844.16
1522,166151.36
1523,113098.12
1524,126866.03
1525,126272.36
1526,115802.76
1527,106648.67
1528,135143.66
1529,145407.62
1530,168982.38
1531,95667.48
1532,95895.95
1533,140264.78
1534,119208.49
1535,152991.02
1536,111197.21
1537,71978.72
1538,166715.1
1539,217716.2
1540,95420.74
1541,152932.77
1542,131944.11
1543,202872.31
1544,80740.484
1545,107443.61
1546,126359.664
1547,131386.33
1548,131244.2
1549,106662.2
1550,137625.84
1551,103699.58
1552,139669.12
1553,149197.48
1554,118053.42
1555,164998.6
1556,68103.664
1557,117275.88
1558,98538.6
1559,85292.74
1560,129444.15
1561,151391.1
1562,125986.33
1563,122221.96
1564,152033.14
1565,141236.8
1566,239237.89
1567,67698.24
1568,228166.66
1569,148116.39
1570,138978.17
1571,122039.73
1572,143788.6
1573,243510.73
1574,105595.25
1575,218112.83
1576,245536.06
1577,204057.53
1578,154168.8
1579,145052.64
1580,187507.17
1581,153178.58
1582,130730.32
1583,327160.1
1584,231713.31
1585,140840.2
1586,76861.96
1587,98120.74
1588,160502.23
1589,88722.97
1590,130568.09
1591,94274.83
1592,119086.41
1593,128391.75
1594,186997.64
1595,115191.24
1596,238927.48
1597,197548.36
1598,210866.47
1599,170051.7
1600,166307.4
1601,68301.32
1602,115281.63
1603,81468.99
1604,273386.2
1605,239530.72
1606,165597.05
1607,156560.4
1608,208059.47
1609,191450.05
1610,162681.64
1611,130572.18
1612,168785.86
1613,158748.06
1614,126211.76
1615,90402.19
1616,69329.83
1617,91003.61
1618,130847.12
1619,135690.92
1620,172936.36
1621,133052.1
1622,136493.33
1623,286419.0
1624,205040.27
1625,124945.9
1626,158239.39
1627,187233.25
1628,275465.3
1629,182035.38
1630,356260.7
1631,219074.06
1632,240860.5
1633,172720.78
1634,188164.45
1635,179399.25
1636,155869.67
1637,189904.33
1638,197043.58
1639,180687.42
1640,267440.38
1641,172280.52
1642,232263.27
1643,224014.22
1644,231924.19
1645,183674.69
1646,159553.81
1647,152511.19
1648,134723.4
1649,145751.3
1650,115577.45
1651,122262.305
1652,94049.83
1653,94112.21
1654,147688.48
1655,150701.16
1656,147197.97
1657,149739.17
1658,143955.4
1659,137521.95
1660,151287.44
1661,450580.5
1662,396786.75
1663,373342.38
1664,447025.3
1665,312877.75
1666,336596.34
1667,377528.0
1668,322941.5
1669,289234.62
1670,354929.44
1671,262490.4
1672,519279.03
1673,294389.9
1674,255527.36
1675,187864.98
1676,199478.02
1677,227301.58
1678,492996.06
1679,386401.16
1680,338537.28
1681,258252.33
1682,287818.2
1683,176199.08
1684,170098.72
1685,172459.75
1686,171797.45
1687,170850.4
1688,187867.47
1689,200317.52
1690,184921.14
1691,179824.48
1692,250291.84
1693,173233.25
1694,181827.31
1695,165586.11
1696,272643.22
1697,178104.86
1698,364273.1
1699,323340.34
1700,248673.56
1701,255387.17
1702,250540.58
1703,243759.42
1704,286557.28
1705,229264.1
1706,401641.62
1707,221493.8
1708,208636.06
1709,268033.7
1710,224092.5
1711,261959.47
1712,241685.31
1713,270555.88
1714,215564.69
1715,211730.66
1716,182763.0
1717,167346.14
1718,124531.99
1719,198445.1
1720,243466.56
1721,161124.22
1722,123428.55
1723,160030.89
1724,207684.95
1725,236683.45
1726,182782.95
1727,159930.53
1728,176694.2
1729,169558.77
1730,162494.39
1731,116423.125
1732,132671.48
1733,119100.6
1734,120408.71
1735,128590.43
1736,119185.5
1737,377615.53
1738,212333.61
1739,264810.75
1740,225446.47
1741,195243.89
1742,173321.28
1743,175885.8
1744,307116.66
1745,227900.19
1746,211260.66
1747,222605.47
1748,220601.86
1749,149820.23
1750,128741.836
1751,218359.56
1752,118934.25
1753,150990.89
1754,193236.6
1755,175632.38
1756,133617.77
1757,121208.05
1758,137883.75
1759,163122.84
1760,160913.6
1761,136936.56
1762,176881.95
1763,165262.75
1764,119599.94
1765,173509.55
